mmsi,imo,name,destination,fleet_source
273458720,8326058,STK-1003,,GUR_Russia
273438520,8521880,STK-1016,,GUR_Russia
273379650,8877241,RM 3,,GUR_Russia
273355250,8407230,ANT,,GUR_Russia
271050524,9136785,SWORD LION,,GUR_Russia
273453680,8226428,SORMOVSKIY-48,,GUR_Russia
273443550,8602957,VERA,,GUR_Russia
613672601,7812945,GARAKAC,,GUR_Russia
273191000,9103817,BORIS KUSTODIEV,,GUR_Russia
273390550,9481934,PORT OLYA-4,,GUR_Russia
273452650,8606616,KOMPOZITOR RAKHMANINOV,,GUR_Russia
461000253,9341079,CAMEL,,GUR_Russia
273290480,8926913,OMSKIY-119,,GUR_Russia
273370900,8422670,VAFA,,GUR_Russia
273375800,8422682,VAFA-1,,GUR_Russia
273216510,8951413,ZAKAMSK,,GUR_Russia
273438290,6603177,MEE,,GUR_Russia
273250800,9031260,ISIK 3,,GUR_Russia
511625000,9085443,SH EXPRESS,,GUR_Russia
273610370,9045601,ALFA1,,GUR_Russia
613906100,8933203,KONAK,,GUR_Russia
273251830,9245263,SOFIA,,GUR_Russia
273332020,9210933,NADYM,,GUR_Russia
273439130,8326060,STK-1004,,GUR_Russia
273327700,8620014,STK-1019,,GUR_Russia
273292860,9915650,LUBOV,,GUR_Russia
273437770,8943260,AZOV,,GUR_Russia
273454720,8883252,KOYSUG,,GUR_Russia
273314230,9369617,Nizami Ganjavi,,GUR_Russia
273450240,9269348,ANDROPOV,,GUR_Russia
271051063,9228801,ULUC KA,,GUR_Russia
273279530,9849887,LA PEROUSE,,GUR_Russia
273459650,8230077,VOLGO BALT 106,,GUR_Russia
273455780,8721272,AMUR-2501,,GUR_Russia
273374000,8959166,VOLGO-DON 205,,GUR_Russia
273435220,8875530,VOLGO-BALT188,,GUR_Russia
273316500,8866321,VOLGO DON 5043,,GUR_Russia
273418280,8729195,LAVRION,,GUR_Russia
273261260,9737187,CHRISTOPHE DE MARGERIE,,GUR_Russia
372108000,9101637,ARINA A,,GUR_Russia
477194200,9750658,VLADIMIR VIZE,,GUR_Russia
273370100,8959219,CAPITAN KORCHIN,,GUR_Russia
273379000,8946377,M. ANDREEV,,GUR_Russia
354447000,9254575,WUZHOU STAR,,GUR_Russia
273318240,8951255,KAPITAN SKACHKOV,,GUR_Russia
477327300,9750660,NIKOLAY URVANTSEV,,GUR_Russia
273372100,8946389,V. USPENSKIY,,GUR_Russia
